COMMON.NAME,SCIENTIFIC.NAME,ATLANTIC COD,BLUEFISH,SILVER HAKE,SPANISH MACKEREL,SPINY DOGFISH,SPOTTED SEATROUT,STRIPED BASS,SUMMER FLOUNDER,WEAKFISH,MONKFISH
bay anchovy,Anchoa mitchilli,,1378,85,19,131,1,101,504,345,2
unidentified fish,Actinopterygii,,959,308,30,957,8,76,1072,463,77
butterfish,Peprilus triacanthus,,356,23,,140,,42,159,31,17
striped anchovy,Anchoa hepsetus,,266,4,10,19,,9,18,31,2
longfin inshore squid,Loligo pealeii,,171,19,,320,,16,222,57,22
sand lances,Ammodytes spp.,,139,48,1,22,,34,93,44,
scup,Stenotomus chrysops,,108,21,,79,,50,335,48,25
unidentified squid,Teuthida,,95,26,,70,,4,120,62,4
anchovy (unidentified),Engraulidae,,61,5,2,2,,,9,9,1
common anchovies,Anchoa spp.,,52,8,,7,,3,33,21,
fish scales,fish scales,,42,2,,6,,1,16,9,
Atlantic menhaden,Brevoortia tyrannus,,36,,,412,1,49,2,26,11
crab megalopa,Decapoda (megalope),,29,,,,1,,2,6,
bluefish,Pomatomus saltatrix,,28,,,24,,7,9,2,
unidentified herring,Clupeidae,,26,18,1,47,,6,12,4,1
weakfish,Cynoscion regalis,,26,,,54,,6,80,43,4
unidentified material,unidentified material,,25,21,,100,1,3,57,17,1
codlings,Urophycis spp.,,16,30,,44,,5,212,29,8
round herring,Etrumeus teres,,15,1,,2,,3,9,,2
vegetation,Plantae,,13,,,4,,3,16,3,
silver hake,Merluccius bilinearis,,10,26,,22,,5,64,12,7
Atlantic moonfish,Selene setapinnis,,10,,,2,,2,2,6,
unidentified animal,unidentified animal,,10,11,,29,,3,17,6,4
larval fish,Actinopterygii (larval),,9,1,,,,,49,2,
unidentified cephalopoda,Cephalopoda,,8,1,,3,,,5,7,
silver anchovy,Engraulis eurystole,,8,,5,,,,,1,
Loligo squid,Loligo spp.,,8,,,2,,,9,6,
searobins (Prionotus spp.),Prionotus spp.,,8,,,12,,4,34,4,
stomatopod larva,Stomatopoda (larva),,8,,,,,,,3,
unidentified shrimp,Decapoda,,7,44,,22,2,,73,21,4
macro algae,macro algae,,7,,,3,,1,7,3,1
unidentified mollusc meat,Mollusca,,7,1,,102,,12,13,2,
rock,rock,,7,,,12,,8,29,1,1
Atlantic cutlassfish,Trichiurus lepturus,,7,,2,2,,,,,
silver perch,Bairdiella chrysoura,,6,,,7,,,16,11,1
black seabass,Centropristis striata,,6,6,,13,,1,32,2,
unidentified crab,Decapoda,1,6,,,53,,3,82,1,
bony fishes,Teleostei,,6,,2,,,,3,4,
trash,trash,,6,,,,,,,,
four-eyed amphipods (Ampelisca spp.),Ampelisca spp.,,5,159,,5,,1,21,13,
sand shrimp,Crangon septemspinosa,,5,494,,22,,18,598,125,6
unidentified crustacean,Crustacea,,5,6,,6,1,1,18,10,
kingfish (Menticirrhus spp.),Menticirrhus spp.,,5,,,12,,,19,4,2
mysid,Neomysis americana,,5,18,,,,,369,52,
"trash, plastic",plastic trash,,5,,,2,,,,,
unidentified polychaete,Polychaeta,,5,14,,54,,4,22,11,
unidentified amphipod,Amphipoda spp.,,4,78,,3,,7,13,2,
Atlantic herring,Clupea harengus,,4,2,,21,,1,4,1,1
Atlantic croaker,Micropogonias undulatus,,4,,,42,,,42,2,13
unidentified croaker/drum,Sciaenidae,,4,,,1,,,14,1,
jackknife clams (razor clams),Solenoidea,,4,,,45,,,6,1,1
unidentified meat,unidentified meat,,4,,,5,,,,,
eelgrass,Zostera marina,,4,1,,3,,1,1,2,
blue crab megalopa,Callinectes spp.,,3,,,,,,1,,
crustacean parts,Crustacea (parts),,3,39,1,9,,,24,17,
isopod (Cymothoidae),Cymothoidae,,3,,,,,1,,1,
common burrower amphipod,Leptocheirus plumulosus,,3,99,,,,1,75,4,1
berg-salmon gill worm,Lernaeenicus radiatus,,3,,,,,,3,9,
unidentified flatfish,Pleuronectiformes,,3,1,,63,,1,17,,21
northern sennet,Sphyraena borealis,,3,,,2,,,1,,
unidentified mantis shrimp (Squillidae),Squilla spp.,,3,,,,,,2,,
unidentified mantis shrimps (Stomatopoda),Stomatopoda,,3,,,,,,10,,
blueback herring,Alosa aestivalis,,2,4,,20,,4,4,1,3
unidentified clam,Bivalvia,,2,,,21,,3,28,1,
amphipod (Corophium spp.),Corophium spp.,,2,41,,1,,,17,,
smallmouth flounder,Etropus microstomus,,2,,,3,,,29,3,1
fishing lure,fishing lure,,2,,,3,,1,1,,
unidentified drill or snail,Gastropoda,,2,,,33,,,19,1,
unidentified bloodworm,Glycera spp.,,2,,,72,,13,,7,
Atlantic brief squid,Lolliguncula brevis,,2,,,4,,,3,1,
unidentified silversides,Menidia spp.,,2,,,,,,,,
gray mullets,Mugil spp.,,2,,,,,,,,
unidentified mysid,Mysidae,,2,16,,,,,279,50,
Atlantic thread herring,Opisthonema oglinum,,2,,,2,,,,,
lady crab,Ovalipes ocellatus,,2,,,3,,5,174,3,
wood,Plantae,,2,,,3,,,3,2,
red algae,Rhodophyceae,,2,,,,,,,,
northern puffer,Sphoeroides maculatus,,2,,,3,,,,,
mantis shrimp,Squilla empusa,,2,1,,4,,2,27,3,
alewife,Alosa pseudoharengus,,1,3,,3,,2,2,,3
unidentified river herrings,Alosa spp.,,1,,,6,,,,,
ambiguous bryozoan,Anguinella palmata,,1,,,,,,,,
opal worm,Arabella iricolor,,1,,,1,,,,1,
northern stargazer,Astroscopus guttatus,,1,,,,,,,,
feather,Aves,,1,,,,,,,,
unidentified bivalve,Bivalvia,,1,,,21,,,3,,
calanoid copepod,calanoid copepod,,1,3,,,,,2,2,
unidentified rock crab,Cancer spp.,,1,,,25,,1,49,,
unidentified hydroid,Cnidaria,,1,,,3,,1,4,1,
beetle adult,Coleoptera,,1,,,,,,,,
crab parts,crab parts,1,1,2,,90,2,3,43,10,
bryozoans,Ectoprocta,,1,,,,,,,,
amphipod (Gammarus spp.),Gammarus spp.,,1,11,,,,5,11,,
bloodworm,Glycera americana,,1,,,,,,,,
lined seahorse,Hippocampus erectus,,1,,,,,,,,
big-eyed amphipod,Hyperiidae,,1,,,,,,,,
unidentified isopod,Isopoda spp.,,1,1,,2,,,1,7,
amphipod (Jassa falcata),Jassa falcata,,1,,,,,,,,
pinfish,Lagodon rhomboides,,1,,,,,,1,,
spot,Leiostomus xanthurus,,1,1,,33,,2,14,6,4
longnose gar,Lepisosteus osseus,,1,,,,,,,,
unidentified spider crab,Libinia spp.,,1,,,5,,,3,,
isopod (Livoneca redmanii),Livoneca redmanii,,1,1,,2,,2,1,1,
tilefish,Lopholatilus chamaeleonticeps,,1,,,,,,,,
Atlantic silverside,Menidia menidia,,1,,,,,,,,
striped bass,Morone saxatilis,,1,,,31,,2,2,,1
nematode,Nematoda,,1,5,,1,,,10,,1
Nothria worms,Nothria,,1,,,1,,,,,
cusk eels,Ophidion,,1,,,4,,,8,1,
unidentified right-hand hermit crab,Pagurus spp.,,1,4,,19,,,20,,
unidentified penaeid shrimp,Penaeidae,,1,,,2,,,5,1,
cumacean (Petalosarsia spp.),Petalosarsia spp.,,1,,,,,,,,
plant seed,plant seed,,1,,,,,,,,
swimming crabs,Portunids,,1,,,2,,,9,,
bigeye,Priacanthus arenatus,,1,,,1,,,,,
northern searobin,Prionotus carolinus,,1,,,7,,8,21,1,1
roughneck shrimp,Rimapenaeus constrictus,,1,8,,11,1,,40,5,1
guaguanche,Sphyraena guachancho,,1,,,,,,,,
Atlantic needlefish,Strongylura marina,,1,,,1,,,,,
unidentified pipefishes,Syngnathus spp.,,1,,,,,1,4,1,
tautog,Tautoga onitis,,1,,,1,,,1,,
red hake,Urophycis chuss,,1,3,,3,,,22,2,6
spotted hake,Urophycis regia,,1,6,,39,,3,31,1,2
unidentified seagrasses,Zostera/Ruppia spp.,,1,,,,,,,,
common Atlantic abra,Abra aequalis,,,,,,,,2,,
spiny-headed worms,Acanthocephala,,,7,,,,,,,
shrimp (Acetes spp.),Acetes spp.,,,,,,,,15,2,
barrel bubble,Acteocina canaliculata,,,,,,,,2,,
sea anemones,Actiniaria,,,,,8,,,,,
polychaete (Aglaophamus circinata),Aglaophamus circinata,,,,,1,,,,1,
unidentified mole crabs,Albuneidae,,,,,,,1,,,
hickory shad,Alosa mediocris,,,,,3,,,1,,
American shad,Alosa sapidissima,,,,,4,,1,,,1
unidentified snapping shrimps,Alpheidae,,,,,,,,1,,
amphipod (Amphiporeia virginiana),Amphiporeia virginiana,,,,,,,1,1,,
unidentified eel,Anguilliformes,,,,,1,,,3,,
animal tubes,animal tubes,,,,,,,,21,1,
seabasses,Anthias spp.,,,1,,,,,,,
sheepshead,Archosargus probatocephalus,,,,,2,,,,,
lazy fish lice,Argulus spp.,,,,,,,,1,,
unidentified Asteriid sea star,Asteriidae,,,,,,,1,,,
unidentified sea stars,Asteroidea,,,,,,,,1,,
burrowing shrimp,Axius serratus,,,1,,1,,,4,,1
unidentified clam siphon,Bivalvia,,,,,13,,,1,,
lancelets,Branchiostoma spp.,,,,,,,1,2,,
"blue crab, sex unknown",Callinectes sapidus,,,,,,,,1,,
jonah crab,Cancer borealis,,,,,35,,,3,,
Atlantic rock crab,Cancer irroratus,,,,,101,,4,218,2,
skeleton shrimp (Caprella equilibria),Caprella equilibra,,,2,,,,,2,,
skeleton shrimp (Caprella spp.),Caprella spp.,,,,,,,,1,,
skeleton shrimp (Caprellidae),Caprellidae spp,,,1,,,,,3,,
blue runner,Caranx crysos,,,,,1,,,,,
rock seabass,Centropristis philadelphica,,,,,,,,2,,
phantom midges,Chaoborus spp.,,,,,1,,,,,
sand isopod,Chiridotea almyra,,,,,,,1,,,
isopod (Cirolana polita),Cirolana polita,,,,,,,1,,,
Gulf Stream flounder,Citharichthys arctifrons,,,,,1,,,,1,
polychaete (Clymenella zonalis),Clymenella zonalis,,,,,,,,2,,
unidentified jellyfish,Cnidaria,,,,,2,,,,,
beetle larva,Coleoptera,,,,,,,,,1,
conger eel,Conger oceanicus,,,,,14,,,,,
unidentified copepod (Copepoda),Copepoda,,,1,,,,,1,,
slender tube builder,Corophium lacustre,,,,,,,,2,,
wrymouth,Cryptacanthodes?maculatus,,,,,1,,,,,
unidentified comb jelly,Ctenophora,,,,,1,,,,,
unidentified cumacean,Cumacea,,,17,,,,,,,
unidentified cyclopoid copepod,Cyclopoid copepod,,,,,2,,,,,
spotted seatrout,Cynoscion nebulosus,,,,,,,,1,,
seatrout (Cynoscion spp.),Cynoscion spp.,,,,,,,,2,,
round scad,Decapterus punctatus,,,,,,,1,1,1,
bristled longbeak,Dichelopandalus leptocerus,,,34,,1,,,19,,3
sand dollar,Echinarachnius parma,,,,,1,,3,4,,
isopods (Edotia),Edotia spp.,,,2,,,,1,2,1,
mound back isopod,Edotia triloba,,,,,1,,1,2,,
eggs,eggs,,,,,9,,,,,
unidentified Elasmobrach,Elasmobranchii,,,,,2,,,,,1
Atlantic sand crab,Emerita talpoida,,,,,,,2,,1,
fourbeard rockling,Enchelyopus cimbrius,,,,,,,,,,1
Atlantic jackknife clam,Ensis directus,,,,,32,,2,8,,
olivepit porcelain crab,Euceramus praelongus,,,,,,,1,,,
pink shrimp,Farfantepenaeus duorarum,,,,,,,,1,,
Atlantic ribbed mussel,Geukensia demissa,,,,,1,,,,,
short-browed mud shrimp,Gilvossius setimanus,,,,,7,,,1,2,
unidentified gobies,Gobiidae,,,,,,1,,2,1,
mysid (Hetermysis formosa),Heteromysis formosa,,,,,,,,1,,
smooth mud crab,Hexapanopeus angustifrons,,,,,,,,1,,
unidentified sea cucumbers,Holothuroidea,,,,,8,,,,,
American lobster,Homarus americanus,,,,,4,,,,,
"wasps, bees, ants",Hymenoptera,,,1,,,,,,,
sea slater,Idotea balthica,,,,,,,1,,,
isopod (Idotea metallica),Idotea metallica,,,,,,,1,,,
northern shortfin squid,Illex illecebrosus,,,,,2,,,4,,
unidentified insect,Insecta,,,1,,,,,,,
banded drum,Larimus fasciatus,,,,,,,,1,,
copepod (Lernaeenicus spp.),Lernaeenicus spp.,,,,,,,,,1,
little skate,Leucoraja erinacea,,,,,1,,,,,
winter skate,Leucoraja ocellata,,,,,,,,1,,1
little & winter skates,Leucoraja spp.,,,,,1,,1,,,1
unidentified purse crabs,Leucosiidae,,,,,1,,,,,
common spider crab,Libinia emarginata,,,,,,,,2,,
horseshoe crab,Limulus polyphemus,,,,,1,,1,,,
white shrimp,Litopenaeus setiferus,,,,,2,,,,1,
goosefish,Lophius americanus,,,,,,,,,,1
shrimp (Lucifer faxoni),Lucifer faxoni,,,,,,,,1,,
polychaete (Maldanidae),Maldanidae,,,1,,,,,,,
unidentified whelk,Melongenidae,,,,,1,,,1,,
southern kingfish,Menticirrhus americanus,,,,,,,,3,,
quahog clam,Mercenaria mercenaria,,,,,,,,1,,
green goby,Microgobius thalassinus,,,,,,,,1,,
amphipod (Microprotopus raneyi),Microprotopus raneyi,,,,,,,,1,,
mud,Miscellaneous,,,,,3,,,2,,
lunar dove snail,Mitrella lunata,,,,,1,,,,,
sea squirt (Molgula manhattensis),Molgula manhattensis,,,,,2,,,,1,
sea squirts (Molgula spp.),Molgula spp.,,,,,14,,,,1,
filefishes,Momacanthidae,,,,,1,,,,,
red-eyed amphipod,Monoculodes edwardsi,,,17,,1,,,2,3,
white perch,Morone americana,,,,,1,,,,,
soft shell clam,Mya arenaria,,,,,4,,7,,,
mysid (Americamysis bigelowi),Mysidopsis bigelowi,,,,,,,,161,4,
unidentified mussel,Mytilidae,,,,,,,,1,,
blue mussel,Mytilus edulis,,,,,,,5,5,,
mantis shrimp (Nannosquilla grayi),Nannosquilla grayi),,,,,,,,15,1,
unidentified whelk (Nassarius spp.),Nassarius spp.,,,,,1,,,2,,
New England dog whelk,Nassarius trivittatus,,,,,8,,3,3,1,
unidentified moon snail,Naticidae,,,,,1,,,,,
clam worm (Neanthes succinea),Neanthes succinea,,,,,,,,1,,
clam worm (Nereididae),Nerdididae,,,,,1,,,,,
spottail shiner,Notropis hudsonius,,,,,1,,,,,
polychaete (Ophelia denticulata),Ophelia denticulata,,,1,,6,,,,,
unidentified snake eel,Ophichthidae,,,,,2,,,2,,
shrimp eel,Ophichthus gomesii,,,,,2,,,,,
blotched cusk-eel,Ophidion grayi,,,,,,,,1,,
striped cusk-eel,Ophidion marginatum,,,,,3,,,1,,
Ovalipes lady crab,Ovalipes,,,,,,,,3,,
coarse-hand lady crab,Ovalipes stephensoni,,,,,1,,,2,,
cumacean (Oxyurostylis smithi),Oxyurostylis smithi?,,,12,,,,,2,,
unidentified hermit crab,Paguroidea,,,,,3,,,1,2,
acadian hermit crab,Pagurus acadianus,,,,,,,,1,,
long-clawed hermit crab,Pagurus longicarpus,,,,,6,,,5,,
flat-clawed hermit crab,Pagurus pollicaris,,,,,15,,,3,,
grass shrimp,Palaemonetes spp.,,,,,1,,,1,,
shrimp (Pandalus spp.),Pandalus spp.,,,5,,,,,3,,
summer flounder,Paralichthys dentatus,,,,,36,,1,,,6
trumpet worm,Pectinaria gouldii,,,,,,,,,1,
harvestfish,Peprilus paru,,,,,1,,,,,
polychaete (Pherusa affinis),Pherusa affinis,,,,,1,,,1,,
tube pea crab,Pinnixa chaetopterana,,,,,,,,6,1,
pea crab (Pinnixa cylindrica),Pinnixa cylindrica,,,,,,,,1,,
unidentified pea crab,Pinnixa spp.,,,,,,,,14,2,
sea scallop,Placopecten magellanicus,,,,,1,,,,,
leaf,Plantae,,,,,,,,1,,
mantis shrimp (Platysquilloides enodis),Platysquilloides enodis,,,,,,,,16,,
black drum,Pogonias cromis,,,,,1,,,,,
shark eye moon snail,Polinices duplicatus,,,,,,,,1,,
moon snail,Polinices heros,,,,,21,,5,1,,
isopod (Politolana concharum),Politolana concharum,,,,,2,,26,2,6,
iridescent swimming crab,Portunus gibbesii,,,,,,,,1,,
sargassum swimming crab,Portunus sayi,,,,,,,,4,,
swimming crab (Portunus spp.),Portunus spp.,,,,,,,1,4,,
chameleon shrimp,Praunus flexuosus,,,,,,,,,1,
striped searobin,Prionotus evolans,,,,,,,1,3,,2
amphipod (Psammonyx nobilis),Psammonyx nobilis,,,1,,,,,,,
winter flounder,Pseudopleuronectes americanus,,,,,6,,,1,,
clearnose skate,Raja eglanteria,,,,,,,,,,1
unidentified ocellate skates,Raja spp.,,,,,9,,,,,1
unidentified skate (Rajidae Family),Rajidae (Family),,,,,3,,,,,3
skate eggs,Rajiidae eggs,,,,,1,,,,,2
sand,sand,,,1,,2,,,3,,
red drum,Sciaenops ocellatus,,,,,,,,,,1
Atlantic mackerel,Scomber scombrus,,,5,,5,,,1,,
windowpane,Scophthalmus aquosus,,,,,7,,,1,,2
bigeye scad,Selar crumenophthalmus,,,,,,,1,,,
unidentified sea basses,Serranidae,,,,,1,,,1,,
shell,shell,1,,1,,6,,,40,,
peanut worms (Sipuncula),Sipuncula,,,,,36,,,,,
green jackknife clam,Solen viridis,,,,,,,,3,,
isopod (Sphaeroma quadridentatum),Sphaeroma quadridentatum,,,,,,,1,,,
common puffers,Sphoeroides spp.,,,,,1,,,6,,
spiny dogfish,Squalus acanthias,,,,,2,,,,,
blackcheek tonguefish,Symphurus plagiusa,,,,,4,,,,,1
inshore lizardfish,Synodus foetens,,,,1,2,,,2,,
stout tagelus,Tagelus plebeius,,,,,1,,,,,
tagelus clams,Tagelus spp.,,,,,1,,,,,
cunner,Tautogolabrus adspersus,,,,,1,,1,2,,
polychaete (Terebellidae),Terebellidae,,,,,,,,1,,
unidentified mud shrimp,Thalassinidea,,,2,,4,,,6,1,
polychaete (Travisia carnea),Travisia carnea,,,,,1,,,,,
interrupted turbonilla,Turbonilla interrupta,,,,,,,,2,,
unidentified zooplankton,unidentified zooplankton,,,1,,,,,1,,
flat-browed mud shrimp,Upogebia affinis,,,,,2,,,,,
unidentified worm,worm,,,1,,4,,,2,,
worm tubes,worm tubes,,,,,1,,3,14,,
unidentified mud crab,Xanthidae,,,,,,,,5,,
