"spp","comnam","size","min_val","max_val","guild"
"Gadus morhua","Atlantic cod","Medium","21","50","amphipod/shrimp"
"Gadus morhua","Atlantic cod","Small","10","20","amphipod/shrimp"
"Lepophidium profundorum","Fawn cusk-eel","Large",">60",NA,"amphipod/shrimp"
"Paralichthys oblongus","Fourspot flounder","Small","10","20","amphipod/shrimp"
"Leucoraja erinacea","Little skate","Medium","31","60","amphipod/shrimp"
"Leucoraja erinacea","Little skate","Small","10","30","amphipod/shrimp"
"Myoxocephalus octodecemspinosus","Longhorn sculpin","Medium","26","50","amphipod/shrimp"
"Myoxocephalus octodecemspinosus","Longhorn sculpin","Small","10","25","amphipod/shrimp"
"Urophycis chuss","Red hake","Medium","21","40","amphipod/shrimp"
"Urophycis chuss","Red hake","Small","10","20","amphipod/shrimp"
"Urophycis regia","Spotted hake","Small","10","20","amphipod/shrimp"
"Urophycis tenuis","White hake","Small","10","20","amphipod/shrimp"
"Scophthalmus aquosus","Windowpane","Medium","21","40","amphipod/shrimp"
"Scophthalmus aquosus","Windowpane","Small","10","20","amphipod/shrimp"
"Leucoraja ocellata","Winter skate","Medium","31","60","amphipod/shrimp"
"Leucoraja ocellata","Winter skate","Small","10","30","amphipod/shrimp"
"Limanda ferruginea","Yellowtail flounder","Small","10","20","amphipod/shrimp"
"Hippoglossoides platessoides","American plaice","Large","41","70","benthivore"
"Hippoglossoides platessoides","American plaice","Medium","21","40","benthivore"
"Hippoglossoides platessoides","American plaice","Small","10","20","benthivore"
"Pomatomus saltatrix","Bluefish","Small","10","30","benthivore"
"Peprilus triacanthus","Butterfish","Small","10","20","benthivore"
"Citharichthys arctifrons","Gulf stream flounder","Small","10","20","benthivore"
"Melanogrammus aeglefinus","Haddock","Large","51","80","benthivore"
"Melanogrammus aeglefinus","Haddock","Medium","21","50","benthivore"
"Melanogrammus aeglefinus","Haddock","Small","10","20","benthivore"
"Macrozoarces americanus","Ocean pout","Large",">60",NA,"benthivore"
"Stenotomus chrysops","Scup","Medium","26","50","benthivore"
"Amblyraja radiata","Thorny skate","Medium","31","60","benthivore"
"Amblyraja radiata","Thorny skate","Small","10","30","benthivore"
"Pseudopleuronectes americanus","Winter flounder","Large","41","70","benthivore"
"Pseudopleuronectes americanus","Winter flounder","Medium","21","40","benthivore"
"Pseudopleuronectes americanus","Winter flounder","Small","10","20","benthivore"
"Glyptocephalus cynoglossus","Witch flounder","Large","41","70","benthivore"
"Glyptocephalus cynoglossus","Witch flounder","Medium","21","40","benthivore"
"Limanda ferruginea","Yellowtail flounder","Large","41","70","benthivore"
"Limanda ferruginea","Yellowtail flounder","Medium","21","40","benthivore"
"Clupea harengus","Atlantic herring","Medium","21","30","crab eater"
"Clupea harengus","Atlantic herring","Small","10","20","crab eater"
"Mustelus canis","Smooth dogfish","Large","61","80","crab eater"
"Mustelus canis","Smooth dogfish","Medium","41","60","crab eater"
"Gadus morhua","Atlantic cod","Extra large",">80",NA,"piscivore"
"Gadus morhua","Atlantic cod","Large","51","80","piscivore"
"Rhizoprionodon terraenovae","Atlantic sharpnose shark","Large",">60",NA,"piscivore"
"Centropristis striata","Black sea bass","Medium","26","50","piscivore"
"Centropristis striata","Black sea bass","Small","10","25","piscivore"
"Pomatomus saltatrix","Bluefish","Large",">70",NA,"piscivore"
"Paralichthys oblongus","Fourspot flounder","Medium","21","40","piscivore"
"Lophius americanus","Goosefish","Large",">60",NA,"piscivore"
"Hemitripterus americanus","Sea raven","Medium","26","50","piscivore"
"Hemitripterus americanus","Sea raven","Small","10","25","piscivore"
"Merluccius bilinearis","Silver hake","Large",">40",NA,"piscivore"
"Squalus acanthias","Spiny dogfish","Large","61","80","piscivore"
"Urophycis regia","Spotted hake","Medium","21","40","piscivore"
"Paralichthys dentatus","Summer flounder","Large","41","70","piscivore"
"Paralichthys dentatus","Summer flounder","Medium","21","40","piscivore"
"Amblyraja radiata","Thorny skate","Extra large",">80",NA,"piscivore"
"Amblyraja radiata","Thorny skate","Large","61","80","piscivore"
"Cynoscion regalis","Weakfish","Medium","26","50","piscivore"
"Cynoscion regalis","Weakfish","Small","10","25","piscivore"
"Urophycis tenuis","White hake","Large",">40",NA,"piscivore"
"Leucoraja ocellata","Winter skate","Extra large",">80",NA,"piscivore"
"Leucoraja ocellata","Winter skate","Large","61","80","piscivore"
"Alosa pseudoharengus","Alewife","Medium","21","30","planktivore"
"Micropogonias undulatus","Atlantic croaker","Medium","26","50","planktivore"
"Micropogonias undulatus","Atlantic croaker","Small","10","25","planktivore"
"Scomber scombrus","Atlantic mackerel","Large",">35",NA,"planktivore"
"Scomber scombrus","Atlantic mackerel","Medium","21","35","planktivore"
"Scomber scombrus","Atlantic mackerel","Small","10","20","planktivore"
"Pomatomus saltatrix","Bluefish","Medium","31","70","planktivore"
"Loligo pealeii","Longfin squid","Large",">30",NA,"planktivore"
"Ammodytes dubius","Northern sand lance","Medium","11","25","planktivore"
"Illex illecebrosus","Northern shortfin squid","Large",">30",NA,"planktivore"
"Squalus acanthias","Spiny dogfish","Medium","41","60","planktivore"
"Squalus acanthias","Spiny dogfish","Small","10","40","planktivore"
"Sebastes fasciatus","Acadian redfish","Medium","26","50","shrimp/small fish"
"Pollachius virens","Pollock","Extra large",">80",NA,"shrimp/small fish"
"Pollachius virens","Pollock","Large","51","80","shrimp/small fish"
"Pollachius virens","Pollock","Medium","21","50","shrimp/small fish"
"Pollachius virens","Pollock","Small","10","20","shrimp/small fish"
"Urophycis chuss","Red hake","Large",">40",NA,"shrimp/small fish"
"Merluccius bilinearis","Silver hake","Medium","21","40","shrimp/small fish"
"Merluccius bilinearis","Silver hake","Small","10","20","shrimp/small fish"
"Malacoraja senta","Smooth skate","Medium","31","60","shrimp/small fish"
"Urophycis tenuis","White hake","Medium","21","40","shrimp/small fish"